 LIST OF OBSOLETE COORDINATE ENTRIES AND SUCCESSORS
OBSLTE    03-Oct-23 1DHB     2DHB
OBSLTE    03-Oct-23 1DHX     1P2Z
OBSLTE    03-Oct-23 1DIJ     2DIJ
OBSLTE    03-Oct-23 1DJ4     
OBSLTE    03-Oct-23 1DKV     1KFU
OBSLTE    03-Oct-23 1DLX     1LY7
OBSLTE    03-Oct-23 1DN1     3C98
OBSLTE    03-Oct-23 1DOO     1E94
OBSLTE    03-Oct-23 1DRI     2DRI
OBSLTE    03-Oct-23 1DRQ     1LT0
OBSLTE    03-Oct-23 1DSH     1Y0D
OBSLTE    03-Oct-23 1DT8     
OBSLTE    03-Oct-23 1DTR     2DTR
OBSLTE    03-Oct-23 1DU7     2X9D
